grid_id,district_name,edge_cell,intersect_area_m2,boundary_share,valid_area_km2,road_length_m,pedestrian_path_length_m,public_space_area_m2,building_footprint_area_m2,building_count,road_density_m_per_km2,ped_path_density_m_per_km2,public_space_share,building_coverage_share,building_count_per_km2,osm_3d_height_available,osm_3d_levels_available
SZ500_0001_0068,宝安区,no,250000.0,1.0,0.25,2433.697,0.0,0.0,3176.076,2,9734.788,0.0,0.0,0.012704,8.0,no,no
SZ500_0001_0069,宝安区,no,250000.0,1.0,0.25,174.901,0.0,0.0,0.0,0,699.604,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0070,宝安区,no,250000.0,1.0,0.25,44.498,0.0,532.405,0.0,0,177.992,0.0,0.00213,0.0,0.0,no,no
SZ500_0001_0071,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0072,宝安区,no,249268.327,0.997073,0.24926832699999998,98.766,0.0,0.0,0.0,0,396.223625,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0073,宝安区,no,180920.122,0.72368,0.18092012200000002,1072.591,0.0,0.0,0.0,0,5928.533477,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0074,宝安区,yes,68421.567,0.273686,0.06842156699999999,1347.784,0.0,0.0,0.0,0,19698.233453,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0075,宝安区,yes,658.518,0.002634,0.0006585180000000001,49.76,0.0,0.0,0.0,0,75563.614055,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0060,宝安区,yes,60.38,0.000242,6.038e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0061,宝安区,yes,75517.649,0.302071,0.075517649,9.339,0.0,0.0,0.0,0,123.666456,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0062,宝安区,no,212751.899,0.851008,0.212751899,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0063,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0064,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0065,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0066,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0067,宝安区,no,250000.0,1.0,0.25,1156.315,0.0,0.0,0.0,0,4625.26,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0068,宝安区,no,250000.0,1.0,0.25,4481.694,0.0,0.0,841.994,1,17926.776,0.0,0.0,0.003368,4.0,no,no
SZ500_0002_0069,宝安区,no,250000.0,1.0,0.25,2632.295,0.0,0.0,0.0,0,10529.18,0.0,0.0,0.0,0.0,no,no
SZ500_0002_0070,宝安区,no,250000.0,1.0,0.25,3587.623,0.0,10457.655,10589.156,2,14350.492,0.0,0.041831,0.042357,8.0,no,no
SZ500_0002_0071,宝安区,no,250000.0,1.0,0.25,2669.583,549.61,46763.468,61001.845,3,10678.332,2198.44,0.187054,0.244007,12.0,no,no
SZ500_0002_0072,宝安区,no,250000.0,1.0,0.25,1912.322,179.254,0.0,647.784,1,7649.288,717.016,0.0,0.002591,4.0,no,no
SZ500_0002_0073,宝安区,no,250000.0,1.0,0.25,2826.539,653.111,284255.666,0.0,0,11306.156,2612.444,1.137023,0.0,0.0,no,no
SZ500_0002_0074,宝安区,no,250000.0,1.0,0.25,2815.371,768.713,422497.16,0.0,0,11261.484,3074.852,1.689989,0.0,0.0,no,no
SZ500_0002_0075,宝安区,no,205264.494,0.821058,0.20526449400000002,1341.003,361.224,33089.978,0.0,0,6533.049013,1759.797776,0.161207,0.0,0.0,no,no
SZ500_0002_0076,宝安区,yes,43872.797,0.175491,0.043872797,586.709,0.0,109.619,0.0,0,13372.956367,0.0,0.002499,0.0,0.0,no,no
SZ500_0003_0058,宝安区,yes,32234.831,0.128939,0.032234831,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0003_0059,宝安区,yes,108233.16,0.432933,0.10823316000000001,175.256,0.0,0.0,0.0,0,1619.244971,0.0,0.0,0.0,0.0,no,no
SZ500_0003_0060,宝安区,no,187183.96,0.748736,0.18718395999999998,1011.42,0.0,0.0,0.0,0,5403.347595,0.0,0.0,0.0,0.0,no,no
SZ500_0003_0061,宝安区,no,250000.0,1.0,0.25,1864.756,0.0,0.0,0.0,0,7459.024,0.0,0.0,0.0,0.0,no,no
SZ500_0003_0062,宝安区,no,250000.0,1.0,0.25,786.025,0.0,29343.257,0.0,0,3144.1,0.0,0.117373,0.0,0.0,no,no
SZ500_0003_0063,宝安区,no,250000.0,1.0,0.25,411.811,0.0,114782.576,0.0,0,1647.244,0.0,0.45913,0.0,0.0,no,no
SZ500_0003_0064,宝安区,no,250000.0,1.0,0.25,952.434,0.0,76717.834,0.0,0,3809.736,0.0,0.306871,0.0,0.0,no,no
SZ500_0003_0065,宝安区,no,250000.0,1.0,0.25,1260.665,0.0,23462.919,0.0,0,5042.66,0.0,0.093852,0.0,0.0,no,no
SZ500_0003_0066,宝安区,no,250000.0,1.0,0.25,3753.822,0.0,25606.979,31516.109,1,15015.288,0.0,0.102428,0.126064,4.0,no,no
SZ500_0003_0067,宝安区,no,250000.0,1.0,0.25,3707.556,0.0,0.0,90052.66,2,14830.224,0.0,0.0,0.360211,8.0,no,no
SZ500_0003_0068,宝安区,no,250000.0,1.0,0.25,5873.067,73.934,0.0,112501.755,1,23492.268,295.736,0.0,0.450007,4.0,no,no
SZ500_0003_0069,宝安区,no,250000.0,1.0,0.25,4630.453,113.95,0.0,136583.419,4,18521.812,455.8,0.0,0.546334,16.0,no,no
SZ500_0003_0070,宝安区,no,250000.0,1.0,0.25,1437.044,0.0,1067.765,24516.513,17,5748.176,0.0,0.004271,0.098066,68.0,no,no
SZ500_0003_0071,宝安区,no,250000.0,1.0,0.25,2958.894,984.142,29741.851,17469.623,11,11835.576,3936.568,0.118967,0.069878,44.0,no,no
SZ500_0003_0072,宝安区,no,250000.0,1.0,0.25,1717.976,698.031,0.0,20686.579,10,6871.904,2792.124,0.0,0.082746,40.0,no,no
SZ500_0003_0073,宝安区,no,250000.0,1.0,0.25,673.438,0.0,289438.585,0.0,0,2693.752,0.0,1.157754,0.0,0.0,no,no
SZ500_0003_0074,宝安区,no,250000.0,1.0,0.25,1789.752,1635.406,598663.37,0.0,0,7159.008,6541.624,2.394653,0.0,0.0,no,no
SZ500_0003_0075,宝安区,no,250000.0,1.0,0.25,954.439,432.721,174599.667,68.059,1,3817.756,1730.884,0.698399,0.000272,4.0,no,no
SZ500_0003_0076,宝安区,no,218487.507,0.87395,0.21848750700000003,1864.912,308.645,21934.562,42880.121,8,8535.554392,1412.643699,0.100393,0.196259,36.615366,no,no
SZ500_0003_0077,宝安区,yes,20502.56,0.08201,0.020502560000000003,285.606,0.0,0.0,0.0,0,13930.260416,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0055,宝安区,yes,10232.705,0.040931,0.010232705,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0056,宝安区,yes,90088.103,0.360352,0.090088103,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0057,宝安区,no,183102.97,0.732412,0.18310297,28.335,0.0,0.0,0.0,0,154.748992,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0058,宝安区,no,248090.527,0.992362,0.248090527,1231.26,0.0,0.0,0.0,0,4962.946449,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0059,宝安区,no,250000.0,1.0,0.25,1450.139,0.0,28959.499,0.0,0,5800.556,0.0,0.115838,0.0,0.0,no,no
SZ500_0004_0060,宝安区,no,250000.0,1.0,0.25,662.349,0.0,8280.821,0.0,0,2649.396,0.0,0.033123,0.0,0.0,no,no
SZ500_0004_0061,宝安区,no,250000.0,1.0,0.25,591.929,0.0,0.0,0.0,0,2367.716,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0062,宝安区,no,250000.0,1.0,0.25,1816.132,0.0,0.0,0.0,0,7264.528,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0063,宝安区,no,250000.0,1.0,0.25,3062.764,0.0,22797.355,673.858,1,12251.056,0.0,0.091189,0.002695,4.0,no,no
SZ500_0004_0064,宝安区,no,250000.0,1.0,0.25,2382.459,0.0,107528.554,4146.97,3,9529.836,0.0,0.430114,0.016588,12.0,no,no
SZ500_0004_0065,宝安区,no,250000.0,1.0,0.25,2519.705,543.389,50058.985,50074.076,42,10078.82,2173.556,0.200236,0.200296,168.0,no,no
SZ500_0004_0066,宝安区,no,250000.0,1.0,0.25,3670.27,1714.758,77133.639,93481.028,3,14681.08,6859.032,0.308535,0.373924,12.0,no,no
SZ500_0004_0067,宝安区,no,250000.0,1.0,0.25,4011.741,1254.851,0.0,172696.022,6,16046.964,5019.404,0.0,0.690784,24.0,no,no
SZ500_0004_0068,宝安区,no,250000.0,1.0,0.25,4015.236,764.342,0.0,154391.785,24,16060.944,3057.368,0.0,0.617567,96.0,no,no
SZ500_0004_0069,宝安区,no,250000.0,1.0,0.25,6427.229,1720.086,4162.119,91293.189,12,25708.916,6880.344,0.016648,0.365173,48.0,no,no
SZ500_0004_0070,宝安区,no,250000.0,1.0,0.25,5069.264,1215.358,22303.294,16825.44,13,20277.056,4861.432,0.089213,0.067302,52.0,no,no
SZ500_0004_0071,宝安区,no,250000.0,1.0,0.25,3284.316,2642.964,96782.903,19950.389,24,13137.264,10571.856,0.387132,0.079802,96.0,no,no
SZ500_0004_0072,宝安区,no,250000.0,1.0,0.25,2767.147,1351.5,68702.354,13967.08,20,11068.588,5406.0,0.274809,0.055868,80.0,no,no
SZ500_0004_0073,宝安区,no,250000.0,1.0,0.25,489.009,0.0,198728.773,9382.905,5,1956.036,0.0,0.794915,0.037532,20.0,no,no
SZ500_0004_0074,宝安区,no,250000.0,1.0,0.25,865.275,669.384,318760.101,325.026,1,3461.1,2677.536,1.27504,0.0013,4.0,no,no
SZ500_0004_0075,宝安区,no,250000.0,1.0,0.25,1993.771,387.545,93028.081,0.0,0,7975.084,1550.18,0.372112,0.0,0.0,no,no
SZ500_0004_0076,宝安区,no,250000.0,1.0,0.25,4545.517,0.0,205.309,0.0,0,18182.068,0.0,0.000821,0.0,0.0,no,no
SZ500_0004_0077,宝安区,no,175129.508,0.700518,0.175129508,485.59,0.0,0.0,0.0,0,2772.74804,0.0,0.0,0.0,0.0,no,no
SZ500_0004_0078,宝安区,yes,491.398,0.001966,0.000491398,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0005_0053,宝安区,yes,16353.561,0.065414,0.016353561,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0005_0054,宝安区,no,126424.341,0.505697,0.126424341,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0005_0055,宝安区,no,234751.561,0.939006,0.234751561,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0005_0056,宝安区,no,250000.0,1.0,0.25,768.525,0.0,0.0,0.0,0,3074.1,0.0,0.0,0.0,0.0,no,no
SZ500_0005_0057,宝安区,no,250000.0,1.0,0.25,1609.044,0.0,6626.078,0.0,0,6436.176,0.0,0.026504,0.0,0.0,no,no
SZ500_0005_0058,宝安区,no,250000.0,1.0,0.25,519.237,0.0,646.68,0.0,0,2076.948,0.0,0.002587,0.0,0.0,no,no
SZ500_0005_0059,宝安区,no,250000.0,1.0,0.25,368.65,0.0,13730.5,0.0,0,1474.6,0.0,0.054922,0.0,0.0,no,no
SZ500_0005_0060,宝安区,no,250000.0,1.0,0.25,401.18,0.0,67574.547,0.0,0,1604.72,0.0,0.270298,0.0,0.0,no,no
SZ500_0005_0061,宝安区,no,250000.0,1.0,0.25,871.501,0.0,13958.268,0.0,0,3486.004,0.0,0.055833,0.0,0.0,no,no
SZ500_0005_0062,宝安区,no,250000.0,1.0,0.25,1747.822,0.0,0.0,1214.038,2,6991.288,0.0,0.0,0.004856,8.0,no,no
SZ500_0005_0063,宝安区,no,250000.0,1.0,0.25,2925.869,0.0,63122.622,64660.161,43,11703.476,0.0,0.25249,0.258641,172.0,no,no
SZ500_0005_0064,宝安区,no,250000.0,1.0,0.25,3184.906,0.0,22276.264,38439.09,34,12739.624,0.0,0.089105,0.153756,136.0,no,no
SZ500_0005_0065,宝安区,no,250000.0,1.0,0.25,1313.129,0.0,4377.865,104227.952,44,5252.516,0.0,0.017511,0.416912,176.0,no,no
SZ500_0005_0066,宝安区,no,250000.0,1.0,0.25,3624.577,2695.595,168761.765,33759.806,26,14498.308,10782.38,0.675047,0.135039,104.0,no,no
SZ500_0005_0067,宝安区,no,250000.0,1.0,0.25,4031.426,2543.757,137940.907,39101.457,27,16125.704,10175.028,0.551764,0.156406,108.0,no,no
SZ500_0005_0068,宝安区,no,250000.0,1.0,0.25,3282.646,3050.962,99347.315,34555.094,38,13130.584,12203.848,0.397389,0.13822,152.0,no,no
SZ500_0005_0069,宝安区,no,250000.0,1.0,0.25,2093.544,2352.833,83618.134,43369.917,29,8374.176,9411.332,0.334473,0.17348,116.0,no,no
SZ500_0005_0070,宝安区,no,250000.0,1.0,0.25,2441.311,1330.455,48235.415,7828.583,12,9765.244,5321.82,0.192942,0.031314,48.0,no,no
SZ500_0005_0071,宝安区,no,250000.0,1.0,0.25,1895.15,15.697,4355.328,0.0,0,7580.6,62.788,0.017421,0.0,0.0,no,no
SZ500_0005_0072,宝安区,no,250000.0,1.0,0.25,2406.739,0.0,0.0,10012.468,5,9626.956,0.0,0.0,0.04005,20.0,no,no
SZ500_0005_0073,宝安区,no,250000.0,1.0,0.25,2892.221,13.338,2042.259,90370.466,48,11568.884,53.352,0.008169,0.361482,192.0,no,no
SZ500_0005_0074,宝安区,no,250000.0,1.0,0.25,1960.207,0.0,19188.294,17293.518,19,7840.828,0.0,0.076753,0.069174,76.0,no,no
SZ500_0005_0075,宝安区,no,250000.0,1.0,0.25,796.903,345.991,29395.662,18523.921,4,3187.612,1383.964,0.117583,0.074096,16.0,no,no
SZ500_0005_0076,宝安区,no,250000.0,1.0,0.25,3150.713,0.0,938.114,42769.316,31,12602.852,0.0,0.003752,0.171077,124.0,no,no
SZ500_0005_0077,宝安区,no,250000.0,1.0,0.25,2619.833,0.0,0.0,32853.771,28,10479.332,0.0,0.0,0.131415,112.0,no,no
SZ500_0005_0078,宝安区,yes,88418.693,0.353675,0.08841869299999999,58.968,0.0,0.0,6.44,1,666.917798,0.0,0.0,7.3e-05,11.309826,no,no
SZ500_0006_0051,宝安区,yes,16365.475,0.065462,0.016365475,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0006_0052,宝安区,no,126467.157,0.505869,0.126467157,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0006_0053,宝安区,no,235092.188,0.940369,0.235092188,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0006_0054,宝安区,no,250000.0,1.0,0.25,405.822,0.0,0.0,0.0,0,1623.288,0.0,0.0,0.0,0.0,no,no
SZ500_0006_0055,宝安区,no,250000.0,1.0,0.25,1531.034,0.0,5407.246,0.0,0,6124.136,0.0,0.021629,0.0,0.0,no,no
SZ500_0006_0056,宝安区,no,250000.0,1.0,0.25,969.424,0.0,10556.767,0.0,0,3877.696,0.0,0.042227,0.0,0.0,no,no
SZ500_0006_0057,宝安区,no,250000.0,1.0,0.25,278.325,0.0,18537.697,0.0,0,1113.3,0.0,0.074151,0.0,0.0,no,no
SZ500_0006_0058,宝安区,no,250000.0,1.0,0.25,769.586,0.0,115022.732,0.0,0,3078.344,0.0,0.460091,0.0,0.0,no,no
SZ500_0006_0059,宝安区,no,250000.0,1.0,0.25,452.282,0.0,53136.029,0.0,0,1809.128,0.0,0.212544,0.0,0.0,no,no
SZ500_0006_0060,宝安区,no,250000.0,1.0,0.25,446.71,0.0,14010.169,0.0,0,1786.84,0.0,0.056041,0.0,0.0,no,no
SZ500_0006_0061,宝安区,no,250000.0,1.0,0.25,751.314,0.0,15186.563,0.0,0,3005.256,0.0,0.060746,0.0,0.0,no,no
SZ500_0006_0062,宝安区,no,250000.0,1.0,0.25,2871.153,0.0,38211.426,16341.643,8,11484.612,0.0,0.152846,0.065367,32.0,no,no
SZ500_0006_0063,宝安区,no,250000.0,1.0,0.25,4363.104,171.68,45638.038,53591.806,43,17452.416,686.72,0.182552,0.214367,172.0,no,no
SZ500_0006_0064,宝安区,no,250000.0,1.0,0.25,3240.201,101.303,13608.481,57251.94,38,12960.804,405.212,0.054434,0.229008,152.0,no,no
SZ500_0006_0065,宝安区,no,250000.0,1.0,0.25,1853.963,0.0,0.0,77428.523,44,7415.852,0.0,0.0,0.309714,176.0,no,no
SZ500_0006_0066,宝安区,no,250000.0,1.0,0.25,3117.292,0.0,1175.513,71732.432,63,12469.168,0.0,0.004702,0.28693,252.0,no,no
SZ500_0006_0067,宝安区,no,250000.0,1.0,0.25,3163.036,235.588,457.627,72585.091,63,12652.144,942.352,0.001831,0.29034,252.0,no,no
SZ500_0006_0068,宝安区,no,250000.0,1.0,0.25,2727.939,403.609,527.646,75427.354,39,10911.756,1614.436,0.002111,0.301709,156.0,no,no
SZ500_0006_0069,宝安区,no,250000.0,1.0,0.25,2230.163,0.0,0.0,87533.564,51,8920.652,0.0,0.0,0.350134,204.0,no,no
SZ500_0006_0070,宝安区,no,250000.0,1.0,0.25,1852.45,500.469,0.0,76280.3,58,7409.8,2001.876,0.0,0.305121,232.0,no,no
SZ500_0006_0071,宝安区,no,250000.0,1.0,0.25,3422.27,0.0,0.0,803.417,2,13689.08,0.0,0.0,0.003214,8.0,no,no
SZ500_0006_0072,宝安区,no,250000.0,1.0,0.25,2976.406,15.841,0.0,37620.985,21,11905.624,63.364,0.0,0.150484,84.0,no,no
SZ500_0006_0073,宝安区,no,250000.0,1.0,0.25,2522.976,24.854,0.0,19623.551,5,10091.904,99.416,0.0,0.078494,20.0,no,no
SZ500_0006_0074,宝安区,no,250000.0,1.0,0.25,3259.502,40.435,0.0,63603.097,48,13038.008,161.74,0.0,0.254412,192.0,no,no
SZ500_0006_0075,宝安区,no,250000.0,1.0,0.25,4512.548,0.0,4890.289,52390.187,39,18050.192,0.0,0.019561,0.209561,156.0,no,no
SZ500_0006_0076,宝安区,no,250000.0,1.0,0.25,2513.699,93.138,653.789,53150.558,24,10054.796,372.552,0.002615,0.212602,96.0,no,no
SZ500_0006_0077,宝安区,no,250000.0,1.0,0.25,2096.541,165.832,0.0,69099.147,30,8386.164,663.328,0.0,0.276397,120.0,no,no
SZ500_0006_0078,宝安区,no,212242.899,0.848972,0.212242899,2119.248,18.664,903.964,41730.604,35,9985.012502,87.936982,0.004259,0.196617,164.905399,no,no
SZ500_0006_0079,宝安区,yes,602.324,0.002409,0.000602324,0.0,0.0,0.0,150.874,3,0.0,0.0,0.0,0.250486,4980.708057,no,no
SZ500_0007_0049,宝安区,yes,723.823,0.002895,0.000723823,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0050,宝安区,yes,93716.044,0.374864,0.093716044,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0051,宝安区,no,230825.977,0.923304,0.23082597700000002,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0052,宝安区,no,250000.0,1.0,0.25,351.022,0.0,0.0,0.0,0,1404.088,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0053,宝安区,no,250000.0,1.0,0.25,1415.184,0.0,4096.337,0.0,0,5660.736,0.0,0.016385,0.0,0.0,no,no
SZ500_0007_0054,宝安区,no,250000.0,1.0,0.25,1288.308,0.0,9891.084,0.0,0,5153.232,0.0,0.039564,0.0,0.0,no,no
SZ500_0007_0055,宝安区,no,250000.0,1.0,0.25,199.592,0.0,12646.444,0.0,0,798.368,0.0,0.050586,0.0,0.0,no,no
SZ500_0007_0056,宝安区,no,250000.0,1.0,0.25,572.13,0.0,96869.743,0.0,0,2288.52,0.0,0.387479,0.0,0.0,no,no
SZ500_0007_0057,宝安区,no,250000.0,1.0,0.25,417.249,0.0,150542.156,0.0,0,1668.996,0.0,0.602169,0.0,0.0,no,no
SZ500_0007_0058,宝安区,no,250000.0,1.0,0.25,707.919,0.0,111712.823,0.0,0,2831.676,0.0,0.446851,0.0,0.0,no,no
SZ500_0007_0059,宝安区,no,250000.0,1.0,0.25,63.261,0.0,0.0,0.0,0,253.044,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0060,宝安区,no,250000.0,1.0,0.25,958.909,0.0,0.0,0.0,0,3835.636,0.0,0.0,0.0,0.0,no,no
SZ500_0007_0061,宝安区,no,250000.0,1.0,0.25,831.598,0.0,740.362,16724.996,2,3326.392,0.0,0.002961,0.0669,8.0,no,no
SZ500_0007_0062,宝安区,no,250000.0,1.0,0.25,2102.126,0.0,35032.517,28217.527,17,8408.504,0.0,0.14013,0.11287,68.0,no,no
SZ500_0007_0063,宝安区,no,250000.0,1.0,0.25,2070.412,0.0,43068.766,44511.554,42,8281.648,0.0,0.172275,0.178046,168.0,no,no
SZ500_0007_0064,宝安区,no,250000.0,1.0,0.25,3419.899,215.583,287.394,58933.052,34,13679.596,862.332,0.00115,0.235732,136.0,no,no
SZ500_0007_0065,宝安区,no,250000.0,1.0,0.25,2139.077,0.0,1431.161,63004.974,45,8556.308,0.0,0.005725,0.25202,180.0,no,no
SZ500_0007_0066,宝安区,no,250000.0,1.0,0.25,6448.733,93.794,0.0,73797.469,183,25794.932,375.176,0.0,0.29519,732.0,no,no
SZ500_0007_0067,宝安区,no,250000.0,1.0,0.25,4621.274,1188.747,0.0,11835.823,13,18485.096,4754.988,0.0,0.047343,52.0,no,no
SZ500_0007_0068,宝安区,no,250000.0,1.0,0.25,2346.656,2083.971,527.365,63160.724,32,9386.624,8335.884,0.002109,0.252643,128.0,no,no
SZ500_0007_0069,宝安区,no,250000.0,1.0,0.25,2486.871,1589.612,4063.847,59424.712,35,9947.484,6358.448,0.016255,0.237699,140.0,no,no
SZ500_0007_0070,宝安区,no,250000.0,1.0,0.25,2550.149,1309.588,0.0,57299.878,52,10200.596,5238.352,0.0,0.2292,208.0,no,no
SZ500_0007_0071,宝安区,no,250000.0,1.0,0.25,3896.744,1108.729,0.0,29347.659,31,15586.976,4434.916,0.0,0.117391,124.0,no,no
SZ500_0007_0072,宝安区,no,250000.0,1.0,0.25,2572.24,1819.579,338.688,31728.466,15,10288.96,7278.316,0.001355,0.126914,60.0,no,no
SZ500_0007_0073,宝安区,no,250000.0,1.0,0.25,3474.16,1122.574,83.487,51438.428,17,13896.64,4490.296,0.000334,0.205754,68.0,no,no
SZ500_0007_0074,宝安区,no,250000.0,1.0,0.25,2726.951,1076.67,539.325,55331.742,45,10907.804,4306.68,0.002157,0.221327,180.0,no,no
SZ500_0007_0075,宝安区,no,250000.0,1.0,0.25,2550.292,1578.498,0.0,60360.189,37,10201.168,6313.992,0.0,0.241441,148.0,no,no
SZ500_0007_0076,宝安区,no,250000.0,1.0,0.25,2415.164,1206.891,3513.395,48454.894,21,9660.656,4827.564,0.014054,0.19382,84.0,no,no
SZ500_0007_0077,宝安区,no,250000.0,1.0,0.25,3000.569,1317.447,1897.541,73492.424,28,12002.276,5269.788,0.00759,0.29397,112.0,no,no
SZ500_0007_0078,宝安区,no,250000.0,1.0,0.25,3911.922,1781.429,9679.877,42519.129,50,15647.688,7125.716,0.03872,0.170077,200.0,no,no
SZ500_0007_0079,宝安区,yes,70146.03,0.280584,0.07014603,1617.336,462.998,0.0,15600.909,18,23056.700429,6600.487583,0.0,0.222406,256.607537,no,no
SZ500_0008_0004,南山区,yes,37449.184,0.149797,0.037449184,0.0,0.0,3771.477,0.0,0,0.0,0.0,0.100709,0.0,0.0,no,no
SZ500_0008_0005,南山区,yes,27659.145,0.110637,0.027659145,0.0,0.0,27659.146,0.0,0,0.0,0.0,1.0,0.0,0.0,no,no
SZ500_0008_0048,宝安区,yes,36970.907,0.147884,0.036970907,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0008_0049,宝安区,no,185736.332,0.742945,0.185736332,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0008_0050,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0008_0051,宝安区,no,250000.0,1.0,0.25,1293.623,0.0,542.133,0.0,0,5174.492,0.0,0.002169,0.0,0.0,no,no
SZ500_0008_0052,宝安区,no,250000.0,1.0,0.25,1376.287,0.0,105.191,0.0,0,5505.148,0.0,0.000421,0.0,0.0,no,no
SZ500_0008_0053,宝安区,no,250000.0,1.0,0.25,267.672,0.0,9831.241,0.0,0,1070.688,0.0,0.039325,0.0,0.0,no,no
